Sno,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
0,30/01/20,6:00 PM,Kerala,0,0,1
1,31/01/20,6:00 PM,Kerala,0,0,1
2,01/02/20,6:00 PM,Kerala,0,0,2
3,02/02/20,6:00 PM,Kerala,0,0,3
4,03/02/20,6:00 PM,Kerala,0,0,3
5,04/02/20,6:00 PM,Kerala,0,0,3
6,05/02/20,6:00 PM,Kerala,0,0,3
7,06/02/20,6:00 PM,Kerala,0,0,3
8,07/02/20,6:00 PM,Kerala,0,0,3
9,08/02/20,6:00 PM,Kerala,0,0,3
10,09/02/20,6:00 PM,Kerala,0,0,3
11,10/02/20,6:00 PM,Kerala,0,0,3
12,11/02/20,6:00 PM,Kerala,0,0,3
13,12/02/20,6:00 PM,Kerala,0,0,3
14,13/02/20,6:00 PM,Kerala,0,0,3
15,14/02/20,6:00 PM,Kerala,0,0,3
16,15/02/20,6:00 PM,Kerala,0,0,3
17,16/02/20,6:00 PM,Kerala,0,0,3
18,17/02/20,6:00 PM,Kerala,0,0,3
19,18/02/20,6:00 PM,Kerala,0,0,3
20,19/02/20,6:00 PM,Kerala,0,0,3
21,20/02/20,6:00 PM,Kerala,0,0,3
22,21/02/20,6:00 PM,Kerala,0,0,3
23,22/02/20,6:00 PM,Kerala,0,0,3
24,23/02/20,6:00 PM,Kerala,0,0,3
25,24/02/20,6:00 PM,Kerala,0,0,3
26,25/02/20,6:00 PM,Kerala,0,0,3
27,26/02/20,6:00 PM,Kerala,0,0,3
28,27/02/20,6:00 PM,Kerala,0,0,3
29,28/02/20,6:00 PM,Kerala,0,0,3
30,29/02/20,6:00 PM,Kerala,0,0,3
31,01/03/20,6:00 PM,Kerala,0,0,3
32,02/03/20,6:00 PM,Telangana,0,0,1
33,02/03/20,6:00 PM,Kerala,0,0,3
34,02/03/20,6:00 PM,Delhi,0,0,1
35,03/03/20,6:00 PM,Telangana,0,0,1
36,03/03/20,6:00 PM,Rajasthan,0,0,1
37,03/03/20,6:00 PM,Kerala,3,0,3
38,03/03/20,6:00 PM,Delhi,0,0,1
39,04/03/20,6:00 PM,Uttar Pradesh,0,0,6
40,04/03/20,6:00 PM,Kerala,3,0,3
41,04/03/20,6:00 PM,Haryana,0,0,2
42,04/03/20,6:00 PM,Delhi,0,0,1
43,04/03/20,6:00 PM,Telangana,0,0,1
44,04/03/20,6:00 PM,Rajasthan,0,0,15
45,05/03/20,6:00 PM,Delhi,0,0,2
46,05/03/20,6:00 PM,Haryana,0,0,2
